AWI0005yiz,J010722.60+380143.9
AWI0002vbd,J020206.67+601741.4
AWI0000phh,J025614.05+040254.2
AWI0005yk3,J030651.95+303136.8
AWI0005w7o,J032429.84+341709.9
AWI0004nfu,J032853.67+490412.8
AWI0000xcq,J033421.19+564343.6
AWI0005ymi,J041249.03+193219.2
AWI0005wdi,J051604.02+061852.6
AWI0005web,J052331.01-010423.6
AWI0005wee,J052408.04+022746.9
AWI0005wu7,J054329.25+000458.9
AWI0000wqx,J132217.71+623337.9
AWI0000uj2,J153046.05+342756.4
AWI0000tsh,J155009.26+403823.5
AWI0005bow,J175911.27+135417.8
AWI0002lye,J182127.79-020834.5
AWI0005bud,J184141.31+313703.4
AWI0002mhd,J184305.97+071626.4
AWI0002nht,J195817.60+392245.4
AWI0004y3p,J203123.98+283625.0
AWI00055by,J204443.79+425654.9
AWI00022y0,J211139.56+534446.4
AWI0006228,J211412.49-015843.1
AWI0005vyx,J212959.78+413037.3
AWI0000phs,J215221.25-031028.9
AWI0005a9r,J215305.45+682955.0
AWI00062fo,J215739.35-083351.4
AWI0002cr2,J215947.92+603246.1
AWI0002d1k,J235734.08+662553.7
